Compound Number,File,RT [min],Precursor m/z (Da),Priority/Bonus,Adduct,InChIKey,SMILES
114,A_M4_posPFP_02,5.90,741.3245,Priority,[M+Na]+,CPGFYBGUXQXJMQ-KZQPWMIESA-N,CC1C(C(OC1C2=CC(=C(C=C2)OC(C)C(C3=CC(=C(C=C3)O)OC)O)OC)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)OC)O)OC)C
115,A_M8_posPFP_02,5.17,325.2349,Priority,[M+Na]+,VUHKKYAXFCILCE-UHFFFAOYSA-N,CC(CC(C)O)C(CCCCCCCCCCC(=O)O)O
116,A_M29_negPFP_03,3.22,313.0484,Priority,[M-H]-,YDFWTYLPMZZSLA-UHFFFAOYSA-N,CC(CC(CC1=CC2=C(C(=CC(=C2Cl)O)O)C(=O)O1)O)O
117,E_M27_posPFP_01,0.54,145.0760,Priority,[M+H]+,DTVYNUOOZIKEEX-UHFFFAOYSA-N,C1=CC2=C(C=CN=C2)C(=C1)N
118,E_M40_posPFP_01,5.53,488.8968,Priority,[M+H]+,ZDTNHRWWURISAA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)Br)OC5=C3C=CC(=C5Br)O
119,E_M41_posPFP_02,6.48,524.2805,Priority,[M+Na]+,PTQXTEKSNBVPQJ-UHFFFAOYSA-N,CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C
120,A_M29_negPFP_04,2.94,469.0907,Priority,[M+Cl]-,KSDSYIXRWHRPMN-UHFFFAOYSA-N,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O
121,A_M7_negPFP_03,2.15,537.1978,Priority,[M+FA-H]-,TXSJJCSJHIDTDE-MZDBWQKZSA-N,COC1=C(C=C2C(C(C(CC2=C1)CO)COC3C(C(C(CO3)O)O)O)C4=CC(=C(C=C4)O)OC)O
122,A_M25_posPFP_01,5.95,429.2272,Priority,[M+H]+,OFDBBWUQAHAKDG-PREJITOJSA-N,CCC(C)C=C(C)C=CC(=O)OC1C=CC2=CC(=O)C(CC2(C1C)C)(C(=C)C(=O)O)O
123,A_M8_posPFP_02,5.46,657.3973,Priority,[M+Na]+,RRIMLWHUVCZACL-WHGXRBQASA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1(C)O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O
124,A_M4_posPFP_01,4.82,944.5213,Priority,[M+NH4]+,MOVNHXBNDSZSGK-JPYQVWQLSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC(C6=C7C(C8(CCC7(CCC65C)C(=O)O8)C)(C)O)O)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O
125,A_M28_posPFP_01,6.22,620.3218,Priority,[M+NH4]+,ULYZLNNPRNDNFD-ZICLEKGPSA-N,CC1CC2(C(C1OC(=O)C3=CC=CC=C3)C=C(C(CC(=O)C(C=CC(C2OC(=O)C)C)(C)C)OC(=O)C4=CC=CC=C4)C)O
126,A_M9_negPFP_03,3.89,955.4544,Priority,[M-H]-,CDJVLCFAYOIREA-OFCFZGJQSA-N,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OC3C(CC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(=C)CC7)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)C(=O)O)O)O)O)O
127,A_M27_negPFP_03,5.34,253.1445,Priority,[M-H]-,NLMAGFGYJVPKJJ-NSHDSACASA-N,CC(CCC=C(CCC=C(C)C)C(=O)O)C(=O)O
128,A_M23_negPFP_03,5.89,389.0878,Priority,[M-H]-,ONSPHUIOGAJFGD-UHFFFAOYSA-N,CC1=CC(=C(C(=C1C(=O)OC)OC2=C(C(=CC(=C2C)OC)C(=O)O)O)C=O)O
129,A_M3_negPFP_03,5.71,1195.5906,Priority,[M-H]-,YWRZZQBSAZIBEQ-ZPKFMWSBSA-N,CC=C(C)C(=O)OC1C(OC(C(C1OC(=O)C(=CC)C)O)OC2C(C3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)CO)OC7C(C(C(C(O7)C(=O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C)C
130,E_M27_posPFP_01,0.47,173.0474,Priority,[M+H]+,AYRRNFHDJUXLEQ-UHFFFAOYSA-N,C1=CC=C(C=C1)OP(=O)(N)N
131,E_M40_posPFP_01,5.60,528.3378,Priority,[M+NH4]+,NLEBIOOXCVAHBD-QKMCSOCLSA-N,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O
132,A_M23_negPFP_03,5.05,719.3496,Priority,[M+FA-H]-,LAMRTXHVEXWMOH-PVNJHXBISA-N,CC(=CCCC(C)(C=C)OC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O)CCC=C(C)CC(C=C(C)C(=O)OC)O
133,A_M7_negPFP_03,5.74,577.3018,Priority,[M+FA-H]-,NBEYAEFZGDUVGW-MBKLMEFLSA-N,CCCC(C(C=CC(=O)OC1CC2C(C2(C)C)C=C(C(=O)C3(CC(C(C3C=C1C)O)C)OC(=O)C)C)O)O
134,A_M8_posPFP_01,4.98,739.2444,Priority,[M+H]+,JDYWLRRIZNBKMP-IKRGWGHGSA-N,CC(CC(=O)OC)(CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=C(C(=C3OC)OC)OC)OC)C4=CC(=C(C=C4)OC)OC)O)O)O)O
135,A_M25_posPFP_02,2.15,501.1367,Priority,[M+Na]+,RBTWPFBRVJRSRZ-XRNSGXKGSA-N,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=CC(=CC=C4)O
136,A_M29_posPFP_01,1.62,274.2377,Priority,[M+NH4]+,ODDNJYHUVXKJBI-UHFFFAOYSA-N,CC12CCC(CC1C(CCC2O)(C)O)C(C)(C)O
137,A_M5_posPFP_01,3.15,270.2064,Priority,[M+NH4]+,ZQCSOQVURYSVKL-DHMVUYJDSA-N,CC12CCC(C3C1C(C(C3C2=C)O)O)C(C)(C)O
138,A_M29_negPFP_03,1.31,529.1927,Priority,[M-H]-,CPTNKRLUDCGSPQ-GCFZLKQZSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C(=C(C=C3)O)C)CC=C(C)C(=O)O)O)O)O)O)O)O
139,A_M4_negPFP_03,5.83,343.1551,Priority,[M-H]-,DIADZLCOROOTGN-OLZOCXBDSA-N,CC(CC1=CC(=C(C=C1)O)OC)C(C)CC2=CC3=C(C=C2O)OCO3
140,A_M27_negPFP_03,1.94,287.1500,Priority,[M-H]-,JDJWBXPQIRDCOI-UHFFFAOYSA-N,C(CCC(=O)O)CC=CCC(C(CCCC(=O)O)O)O
141,E_M44_posPFP_01,0.48,98.0964,Priority,[M+H]+,DYUWTXWIYMHBQS-UHFFFAOYSA-N,C=CCNCC=C
142,E_M27_posPFP_01,2.30,212.0818,Priority,[M+H]+,VEEGZPWAAPPXRB-YHYXMXQVSA-N,C1=CC=C2C(=C1)C(=CC3=CN=CN3)C(=O)N2
143,A_M7_negPFP_03,5.46,955.4908,Priority,[M+FA-H]-,DPEYAJFUJJMJNO-JOQVNCSISA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC78C6C(C(CC7)(OC8=O)C)(C)O)C)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O
144,A_M23_negPFP_03,4.64,811.4485,Priority,[M+FA-H]-,JUQZBNSNCFPQEN-QEONLWONSA-N,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)O)O)O)C)CC=C5C3(CCC6(C5CC(CC6)(C)CO)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C
145,A_M27_negPFP_03,0.35,358.1144,Priority,[M+FA-H]-,UTHVFIKQCUKKQW-QPQKLBPSSA-N,C1C(C=CC(=CC#N)C1OC2C(C(C(C(O2)CO)O)O)O)O
146,A_M29_negPFP_03,2.27,581.1876,Priority,[M+FA-H]-,VXYKGOAXVHSLDD-ATALQWSYSA-N,COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O)O
147,A_M9_posPFP_01,5.80,349.2010,Priority,[M+H]+,BNKQCXTYXHSKGJ-XJXKWIQZSA-N,CC=C(C)C(=O)OC1CC(C2(CC3=C(C(=O)OC3(CC2C1)O)C)C)C
148,A_M5_posPFP_01,2.59,267.1591,Priority,[M+H]+,QEXBXSJDNHRVSH-MHEUCROKSA-N,CC1=C(CC2(C13CCC(C3CC2)(CO)O)C)C(=O)O
149,A_M29_posPFP_02,4.95,353.2047,Priority,[M+Na]+,KMSCXNAPFWQQKD-UHFFFAOYSA-N,CC(C)CCCCCCC(CC(=O)NC(CC(=O)O)C(=O)N)O
150,A_M25_posPFP_01,1.83,542.2596,Priority,[M+NH4]+,PCWPSOCJBMEHGK-BZKLREMRSA-N,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC)CO)O
151,A_M4_negPFP_03,6.43,399.2752,Priority,[M-H]-,FLVBOVQKMCPBFE-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC(C(C)C)C(C(=O)O)OC(=O)C(C)C
152,E_M44_posPFP_01,0.96,127.0754,Priority,[M+H]+,MIDXCONKKJTLDX-UHFFFAOYSA-N,CC1CC(C(=O)C1=O)C
153,E_M27_posPFP_01,6.05,228.2322,Priority,[M+H]+,QEALYLRSRQDCRA-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)N
154,A_M5_negPFP_04,5.35,335.1743,Priority,[M+Cl]-,LZOJNMQMOSTOHX-LBPRGKRZSA-N,CC(C)CCCCCCCC(=O)NC(CC(=O)O)C(=O)N
155,A_M7_negPFP_04,4.31,963.4726,Priority,[M+Cl]-,OWZYYRSRGCPFKQ-HMMRWYOQSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC(C6C(=O)C)(CCC(C)O)C(=O)O)C)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O
156,A_M23_negPFP_04,2.97,859.2433,Priority,[M+Cl]-,WCUYANMOZSMFCP-CFKLRSBVSA-N,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)CO)O)O)O)O)O
157,A_M29_negPFP_03,5.03,855.4384,Priority,[M+FA-H]-,NMDFCFOQBAHNPV-IWIVWMRFSA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)OC7C(C(C(C(O7)CO)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C(=O)OC
158,A_M5_posPFP_01,5.87,319.2268,Priority,[M+H]+,JIKPDGHCTOSDJA-UHFFFAOYSA-N,CC1CCC2(C(C1(C)CCC(=CC(=O)O)C)CC(=C2C)C=O)C
159,A_M29_posPFP_01,5.83,485.2170,Priority,[M+H]+,WAVKNSMRCWYDDL-UHFFFAOYSA-N,CCCCCC1=CC2=CC(=CC(=C2C(=O)O1)OC3=C(C(=C(C=C3O)OC)C(=O)O)CCCCC)O
160,A_M25_posPFP_02,2.02,603.2048,Priority,[M+Na]+,AKEQVUOZQNGJQC-UHFFFAOYSA-N,CC(=O)OCC1C(COC1C2=CC(=C(C=C2)O)OC)C(C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O
161,A_M9_posPFP_01,4.23,424.1966,Priority,[M+NH4]+,RQYZKRVLMHQSMS-UHFFFAOYSA-N,CC1COC2(C1(C(=O)C3=C(C2=O)C45CCCC(C4C(C3OC)OC5=O)(C)C)O)O
162,A_M27_negPFP_03,1.24,329.0878,Priority,[M-H]-,VSTYNZNDJYVPKL-CTYVSURLSA-N,COC(=O)C1=C(C(=CC=C1)OC2C(C(C(C(O2)CO)O)O)O)O
163,E_M44_posPFP_01,2.05,215.9655,Priority,[M+H]+,SGNCOKUHMXLGAH-UHFFFAOYSA-N,COC(=O)C1=NC(=CC=C1)Br
164,E_M27_posPFP_02,0.32,268.0704,Priority,[M+Na]+,NVZFZMCNALTPBY-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)F
165,E_M34_negPFP_03,5.71,664.6910,Priority,[M-H]-,UDSAIICHUKSCKT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br
166,A_M7_negPFP_03,3.81,1307.6278,Priority,[M+FA-H]-,NNIRVDLUHWUBSX-NBIDALDTSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)CO)O)O)O)COC(=O)C)O)O)O
167,A_M27_negPFP_03,5.68,377.1970,Priority,[M+FA-H]-,NZIQEPLIKSMSRT-UHFFFAOYSA-N,CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CC(=C2C)C=O)C
168,A_M23_negPFP_03,5.34,1103.5644,Priority,[M+FA-H]-,ULSOTXJNUTYKRK-NLUBGPCESA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O
169,A_M29_posPFP_01,5.27,705.2389,Priority,[M+H]+,ABAIOHPURNHXKB-JWFSFCLHSA-N,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)O)O)OC(=O)C
170,A_M22_posPFP_01,5.04,249.1485,Priority,[M+H]+,JSWXKFCFVRCREF-NEPJUHHUSA-N,CC1(C2C1C=C(CCC(=O)C(=C)CC2)C(=O)O)C
171,A_M9_posPFP_02,2.70,561.1215,Priority,[M+Na]+,PRBUAZIWXABBBW-AFNDXPGZSA-N,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O)OC4C(C(C(C(O4)CO)O)O)O)O
172,A_M5_posPFP_02,4.90,424.1731,Priority,[M+Na]+,VBTZAIPQSNXYCM-BXAUHREASA-N,CCC(C)C1C(=O)C(C(=O)N1)(C2=CC3=C(C(C2=O)(C)CC)OC(=C(C3=O)C)C)O
173,A_M25_posPFP_01,5.57,1094.5953,Priority,[M+NH4]+,IESDYJUGZCFEQG-UHFFFAOYSA-N,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)OC)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O
174,A_M5_negPFP_03,3.10,371.1711,Priority,[M-H]-,OQWLWGHVEYZMLN-GHLGXFJJSA-N,CCC=CCC1(CCC=CC1C(=O)O)OC2C(C(C(C(O2)CO)O)O)O
175,A_M29_negPFP_03,3.12,1103.5280,Priority,[M-H]-,VQMRBUNQTLAATK-JOUDUNFKSA-N,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)C(=O)O)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C
176,E_M34_negPFP_03,5.84,792.6584,Priority,[M+FA-H]- ,PPJYSSNKSXAVDB-UHFFFAOYSA-N,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(=O)O
177,E_M74_posPFP_01,1.25,114.1277,Priority,[M+H]+,AVKNGPAMCBSNSO-UHFFFAOYSA-N,C1CCC(CC1)CN
178,E_M27_posPFP_01,5.20,282.1700,Priority,[M+H]+,UVZTZBRGZXIBLZ-UHFFFAOYSA-N,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O
179,A_M30_negPFP_04,0.64,411.1064,Priority,[M+Cl]-,FVAIJXKCYZKCGF-FFBHLRJYSA-N,CC1(C2CCC(C1C(=O)OC)O2)C(=O)OC3C(C(C(C(O3)CO)O)O)O
180,A_M8_negPFP_03,0.30,385.1352,Priority,[M+FA-H]-,CMXKPYSXVVBBDY-KUBZZJBSSA-N,CCOC1C(C(C(CO1)O)O)OC2C(C(C(C(O2)CO)O)O)O
181,A_M5_negPFP_03,3.62,449.1453,Priority,[M+FA-H]-,IVDMSWPOHFCIHO-YCRPNKLZSA-N,COC1=C(C=CC(=C1)C=CC(=O)OC)OC2=C(C=C(C=C2)C(C(CO)O)O)OC
182,A_M27_negPFP_03,1.42,407.1348,Priority,[M+FA-H]-,PMALFGMVFUCPMK-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(C2COC(C2CO)C3=CC(=C(C=C3)O)O)O)O
183,A_M22_posPFP_01,5.64,331.1904,Priority,[M+H]+,XYZWRQXZTNPKPD-OZBJMMHXSA-N,CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C(=O)O)O
184,A_M26_posPFP_01,2.01,169.1223,Priority,[M+H]+,ZFUJCNJIGDBFEP-UHFFFAOYSA-N,CC1=CC(C(CC1=O)C(C)C)O
185,A_M5_posPFP_02,4.74,513.2360,Priority,[M+Na]+,DAOMSLPFWWIXQB-UHFFFAOYSA-N,CC1CC=CC2C(C(=C(C3C2(C(=O)C4C(O4)C(C1)O)C(=O)NC3CC5=CNC6=CC=CC=C65)C)C)O
186,A_M30_posPFP_02,1.50,279.1931,Priority,[M+Na]+,ODDNJYHUVXKJBI-MIBAYGRRSA-N,CC12CCC(CC1C(CCC2O)(C)O)C(C)(C)O
187,A_M9_posPFP_01,5.67,654.4576,Priority,[M+NH4]+,VWKSQQHPNMUNOC-UHFFFAOYSA-N,CC(CCC(C(C)(C)O)O)C1CCC2(C1(C(CC3=C2CCC4C3(CC(C(C4(C)C)OC(=O)CC(C)(CC(=O)O)O)O)C)O)C)C
188,A_M24_negPFP_03,1.06,167.0350,Priority,[M-H]-,GOWHHUDNXNDUAS-UHFFFAOYSA-N,C1CC(=C(C=C1)C(=O)O)C(=O)O
189,E_M74_posPFP_01,2.03,144.1383,Priority,[M+H]+,QRCJOCOSPZMDJY-UHFFFAOYSA-N,CCC(C)C(CC)C(=O)N
190,E_M27_posPFP_01,5.48,287.0485,Priority,[M+H]+,KDDXOGDIPZSCTM-UHFFFAOYSA-N,COC(=O)C1=CSC(=N1)C(=O)C2=CNC3=CC=CC=C32
191,E_M38_negPFP_03,5.45,409.0987,Priority,[M-H]-,VNIWZCGZPBJWBI-UHFFFAOYSA-N,CN1C(=O)C(=C(N=C1N2CCCCS2(=O)=O)C(=O)NCC3=CC=C(C=C3)F)O
192,A_M5_negPFP_03,4.37,665.3906,Priority,[M+FA-H]-,UKDGPTZSBZPKIO-DEOHUDLUSA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)CO
193,A_M26_posPFP_01,5.49,305.2475,Priority,[M+H]+,SAYWUPNITYCHPG-OTOUPVKASA-N,CC(=CCCC(=CCCC1=CCC(OC1)C(=CCO)C)C)C
194,A_M30_posPFP_01,3.18,399.2377,Priority,[M+H]+,XHAUOHBDNZKIEL-OUEXDMKTSA-N,CC1=C2CC(CCC2(CCC1=O)C)C(C)(C)OC3C(C(C(C(O3)CO)O)O)O
195,A_M22_posPFP_01,6.06,522.3789,Priority,[M+NH4]+,PXKWYQCTBMFQDW-UHFFFAOYSA-N,CC1CCC2C(C1(CCC3C(=C)CCC4C3(CCC(=O)C(O4)(C)C)C)O)(CC(C(=O)C(O2)(C)C)O)C
196,A_M5_posPFP_01,4.57,550.2647,Priority,[M+NH4]+,SVLAIBOYFCQLIY-PGNWUXKFSA-N,CC1CC2(C=C(C(=O)O2)C)OC34C1CC5C3(O5)C6C(CC7C(OC8C7(CC6(CC4O)O)OC(=O)C8)(C)C)O
197,A_M27_negPFP_03,5.23,373.0929,Priority,[M-H]-,FEPPYNQWWRLZNW-UHFFFAOYSA-N,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C(C(=C3)C(=O)O)C)OC)COC)O
198,A_M24_negPFP_03,2.28,229.1445,Priority,[M-H]-,FLXFNIBELQCRPA-NSHDSACASA-N,C(CCCC(C=CCO)O)CCCC(=O)O
199,A_M8_negPFP_03,5.68,373.1657,Priority,[M-H]-,LFMVGCLSSWANEO-UHFFFAOYSA-N,CC1=C2COC(=O)C2=C(C(=C1O)CC=C(C)CCC=C(C)CCC(=O)O)O
200,A_M30_negPFP_03,5.66,483.2038,Priority,[M-H]-,UTVHCNQHDCRVMF-GTYYOKPTSA-N,CC1C(=O)N2C3C(CC2(C4=NC5=CC=CC=C5C(=O)N14)O)(C6=CC=CC=C6N3C(=O)C)C(C)(C)C=C
201,E_M76_posPFP_01,0.36,103.0866,Priority,[M+H]+,ZQZJKHIIQFPZCS-UHFFFAOYSA-N,CCCNC(=O)N
202,E_M33_posPFP_01,0.47,1550.7206,Priority,[M+H]+,NBQNWMBBSKPBAY-UHFFFAOYSA-N,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
203,E_M38_negPFP_03,2.66,503.1389,Priority,[M-H]-,UFUVLHLTWXBHGZ-UHFFFAOYSA-N,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl
204,A_M8_negPFP_04,5.41,441.1322,Priority,[M+Cl]-,CLMACWUIFILBBM-UHFFFAOYSA-N,CC1COC(=O)C1(C2C3=C(C(=O)O2)C45CCCC(C4C(C3OC)OC5=O)(C)C)O
205,A_M27_negPFP_04,5.36,515.1478,Priority,[M+Cl]-,GFXHOKACHHWSQG-HEKZAOSPSA-N,COC1=C(C=CC(=C1)CC2COC(C2COC(=O)C3=CC=C(C=C3)O)C4=CC(=C(C=C4)O)OC)O
206,A_M24_negPFP_03,1.16,373.1140,Priority,[M+FA-H]-,KQLFQMPSIZRACE-OXEYGOSQSA-N,COC(=O)C(C1=CC=CC=C1)OC2C(C(C(C(O2)CO)O)O)O
207,A_M5_negPFP_03,5.11,1275.6015,Priority,[M+FA-H]-,NPCYPPUNOYDHKT-FTGSXAGXSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)O)O)O)COC(=O)C)O)O)O
208,A_M26_posPFP_01,5.78,330.2064,Priority,[M+H]+,IGSZOCSRLTUKLJ-UHFFFAOYSA-N,CC1=CC(=O)NC1=CC=C(C)CCC=C(CCC=C(C)C)C(=O)O
209,A_M6_posPFP_01,4.71,303.1227,Priority,[M+H]+,LWZCXTWCFCVAPB-NUTKFTJISA-N,CC1=CC(=O)C(C2(C1CC3=C(C(=O)OC3=C2)C)C)OC(=O)C
210,A_M22_posPFP_02,5.50,695.4341,Priority,[M+Na]+,DPYJSGIGESZKHU-DUIWHAMXSA-N,CC(=CCCC=C(C)CCC1C(CCC(O1)C(C)(C)OC2C(C(C(C(O2)CO)O)O)O)(C)O)CCC3C(CCC(O3)C(C)(C)O)(C)O
211,A_M30_posPFP_01,6.02,554.2748,Priority,[M+NH4]+,BYTPMMJRDFCGKX-RYXVVOBLSA-N,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)OC)O)OC)C
212,A_M30_negPFP_03,4.42,809.4329,Priority,[M-H]-,HCFFYRGPTPKLPK-HHNOJRCQSA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C)C2C1(C)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
213,E_M76_posPFP_01,0.31,140.1070,Priority,[M+H]+,DTUJRJIWGWTNFQ-UHFFFAOYSA-N,C1CC1N2CCC(=O)CC2
214,E_M33_posPFP_01,0.32,764.8774,Priority,[M+NH4]+,BHCBLTRDEYPMFZ-UHFFFAOYSA-N,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
215,E_M38_negPFP_03,6.39,541.1632,Priority,[M-H]-,KKBGNYHHEIAGOH-UHFFFAOYSA-N,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)OCC6=CC=C(C=C6)C(F)(F)F
216,A_M27_negPFP_03,5.53,902.5119,Priority,[M+FA-H]-,LRHHFHPQWVDGIQ-JTHVBYAHSA-N,CC(=O)NC1C(C(C(OC1OC(C)(C)C2CCC(O2)(C)C(CCC(=C)C3CCC4C3(CCC5C4(CCC(O5)C(C)(C)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)CO)O)O
217,A_M8_negPFP_03,2.98,493.2291,Priority,[M+FA-H]-,RVQFSOHDFFWTLD-CNWHQPCMSA-N,CC1(C2CCC1(C(C2)OC3C(C(C(C(O3)COC4C(C(CO4)(CO)O)O)O)O)O)C)C
218,A_M24_negPFP_03,0.39,405.1402,Priority,[M+FA-H]-,VXXKDWBEVHGANN-XJWQLZQYSA-N,COC1=C(C=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CC(CO)O
219,A_M23_posPFP_01,5.45,229.1434,Priority,[M+H]+,GFMGGFIBSURRGW-VIFPVBQESA-N,CCCCCCC=C(C(C)C(=O)O)C(=O)O
220,A_M6_posPFP_01,4.79,319.2268,Priority,[M+H]+,JZXWITIZXDCGSC-UHFFFAOYSA-N,CC1(C2CCC34CC(CCC3C2(C=CC1=O)C)C(C4)(CO)O)C
221,A_M26_posPFP_02,5.48,355.1880,Priority,[M+Na]+,QQQHFUHGZMFSOB-UHFFFAOYSA-N,CC1=CC(C(=CC(C)CCC=C(CCC=C(C)C)C(=O)O)C1=O)O
222,A_M3_posPFP_02,2.44,359.2193,Priority,[M+Na]+,SYLBWUCYLWBMER-BHJGDWCPSA-N,CC12CCC(=O)C(C1CCC34C2CC(CC3)C(C4)(CO)O)(C)CO
223,A_M6_negPFP_03,1.60,199.0976,Priority,[M-H]-,NQNFBFWPHHJVSM-UHFFFAOYSA-N,CCCC1C(C(CO1)O)C=CC(=O)O
