,Challenge,InChIkey,PubChem CID,ChemSpider ID,InChI,SMILES,ION_MODE,PRECURSOR_MZ
63,challenge-063,WBEFPLHFVLPKHQ-UHFFFAOYSA-N,57509423,NA,"InChI=1S/C23H32O7/c1-11(2)13-9-14-17(15(25)10-13)23(5)16(26)7-8-22(4,21(28)29-6)20(23)19(18(14)27)30-12(3)24/h9-11,16,18-20,25-27H,7-8H2,1-6H3",C1CC(C2C(C1O)(c1c(C(C2OC(=O)C)O)cc(cc1O)C(C)C)C)(C(=O)OC)C,NEGATIVE,419.2075
64,challenge-064,LLEMMFPELBNINR-UHFFFAOYSA-N,4155678,3367711,"InChI=1S/C19H28O11/c20-6-10-12(21)14(23)16(25)19(29-10)28-8-11-13(22)15(24)17(26)18(30-11)27-7-9-4-2-1-3-5-9/h1-5,10-26H,6-8H2/t10-,11-,12-,13-,14+,15+,16-,17-,18-,19-/m1/s1",c1cccc(c1)CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO,NEGATIVE,431.1559
65,challenge-065,OZDABLANSWPSGY-UHFFFAOYSA-N,14539974,NA,"InChI=1S/C29H38O14/c1-12(2)8-9-15-18(27(38)39-3)26(43-29-24(37)22(35)20(33)17(11-31)41-29)14-7-5-4-6-13(14)25(15)42-28-23(36)21(34)19(32)16(10-30)40-28/h4-8,16-17,19-24,28-37H,9-11H2,1-3H3",C1(C(C(C(C(O1)Oc1c2ccccc2c(OC2C(C(C(C(O2)CO)O)O)O)c(c1C(=O)OC)CC=C(C)C)O)O)O)CO,NEGATIVE,609.2189
66,challenge-066,ZTDRTMVBTLHQII-UHFFFAOYSA-N,23786454,NA,"InChI=1S/C21H22O5/c1-12(2)4-9-15-16(22)10-19-20(21(15)24)17(23)11-18(26-19)13-5-7-14(25-3)8-6-13/h4-8,10,18,22,24H,9,11H2,1-3H3",c12c(c(c(cc1OC(CC2=O)c1ccc(cc1)OC)O)CC=C(C)C)O,NEGATIVE,353.1394
67,challenge-067,HPQKNJHVWUWAOR-UHFFFAOYSA-N,578152,502556,"InChI=1S/C20H32O4/c1-13(12-17(21)22)6-8-15-14(2)7-9-16-19(15,3)10-5-11-20(16,4)18(23)24/h13,15-16H,2,5-12H2,1,3-4H3,(H,21,22)(H,23,24)",C1CC(C2C(C1)(C(C(=C)CC2)CCC(CC(=O)O)C)C)(C(=O)O)C,NEGATIVE,335.2228
68,challenge-068,UZIOUZHBUYLDHW-UHFFFAOYSA-N,4483443,3681299,"InChI=1S/C42H72O14/c1-20(2)10-9-13-42(8,52)21-11-15-40(6)28(21)22(45)16-26-39(5)14-12-27(46)38(3,4)35(39)23(17-41(26,40)7)53-37-34(32(50)30(48)25(19-44)55-37)56-36-33(51)31(49)29(47)24(18-43)54-36/h10,21-37,43-52H,9,11-19H2,1-8H3/t21-,22+,23-,24+,25+,26?,27-,28-,29+,30+,31-,32-,33+,34+,35-,36-,37+,39+,40+,41+,42-/m0/s1",O([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]1[C@H]2C([C@H](CC[C@@]2(C2[C@@](C1)([C@]1([C@H]([C@@H](C2)O)[C@H](CC1)[C@@](CCC=C(C)C)(C)O)C)C)C)O)(C)C)CO)O)O,NEGATIVE,799.4849
69,challenge-069,IMIAGCONYJPMDY-UHFFFAOYSA-N,327248,289807,"InChI=1S/C36H43NO17/c1-15-16(2)31(44)53-29-26(49-18(4)39)30(52-21(7)42)35(14-47-17(3)38)28(51-20(6)41)25(43)23-27(50-19(5)40)36(35,34(29,9)46)54-33(23,8)13-48-32(45)22-11-10-12-37-24(15)22/h10-12,15-16,23,26-30,46H,13-14H2,1-9H3/t15-,16-,23+,26-,27+,28+,29-,30-,33-,34-,35+,36-/m0/s1",[C@@H]1([C@H]2[C@]([C@]34[C@@]([C@H]1OC(=O)C)([C@@H](C(=O)[C@H]([C@H]3OC(=O)C)[C@](O4)(C)COC(=O)c1c(nccc1)[C@H]([C@@H](C(=O)O2)C)C)OC(=O)C)COC(=O)C)(C)O)OC(=O)C,NEGATIVE,760.2458
70,challenge-070,OEWCQSJKSNWJTH-UHFFFAOYSA-N,9968607,8144199,"InChI=1S/C20H20O6/c1-25-19(23)17-15(11-3-7-13(21)8-4-11)18(20(24)26-2)16(17)12-5-9-14(22)10-6-12/h3-10,15-18,21-22H,1-2H3",C1(C(C(C1C(=O)OC)c1ccc(cc1)O)C(=O)OC)c1ccc(cc1)O,NEGATIVE,355.1187
71,challenge-071,LNVWGAALAQOWHF-UHFFFAOYSA-N,42607720,NA,"InChI=1S/C21H24O11/c22-7-14-18(29)19(30)20(31)21(32-14)15-11(24)4-2-9(17(15)28)16(27)13(26)6-8-1-3-10(23)12(25)5-8/h1-5,13-14,18-26,28-31H,6-7H2/t13-,14-,18-,19+,20-,21+/m1/s1",c1(c(ccc(c1O)C(=O)[C@@H](Cc1ccc(c(c1)O)O)O)O)[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,NEGATIVE,451.1246
72,challenge-072,PRZVXHGUJJPSME-UHFFFAOYSA-N,599030,520736,"InChI=1S/C17H24O11/c1-6-3-9(19)17(24)7(14(23)25-2)5-26-15(10(6)17)28-16-13(22)12(21)11(20)8(4-18)27-16/h5-6,8,10-13,15-16,18,20-22,24H,3-4H2,1-2H3",C12(C(C(OC=C1C(=O)OC)OC1OC(C(C(C1O)O)O)CO)C(CC2=O)C)O,NEGATIVE,403.1246
73,challenge-073,GGNFGJZLCXTJLH-UHFFFAOYSA-N,434884,384590,"InChI=1S/C29H38O12/c1-3-20-21(12-19-11-17(32)10-18(39-19)9-6-15-4-7-16(31)8-5-15)22(27(36)37-2)14-38-28(20)41-29-26(35)25(34)24(33)23(13-30)40-29/h3-5,7-8,14,18-21,23-26,28-31,33-35H,1,6,9-13H2,2H3",C(Cc1ccc(cc1)O)C1OC(CC2C(C(OC=C2C(=O)OC)OC2OC(C(O)C(O)C2O)CO)C=C)CC(=O)C1,NEGATIVE,577.229
74,challenge-074,UDHCHDJLZGYDDM-QPJJXVBHSA-N,14034193,NA,"InChI=1S/C34H44O19/c1-14-24(42)26(44)31(53-32-27(45)25(43)21(40)13-48-32)34(49-14)52-30-28(46)33(47-9-8-16-3-6-18(37)20(39)11-16)50-22(12-35)29(30)51-23(41)7-4-15-2-5-17(36)19(38)10-15/h2-7,10-11,14,21-22,24-40,42-46H,8-9,12-13H2,1H3/b7-4+",C1C(C(C(C(O1)OC1C(C(C(OC1OC1C(C(OC(C1O)OCCc1ccc(c(c1)O)O)CO)OC(=O)/C=C/c1cc(c(cc1)O)O)C)O)O)O)O)O,NEGATIVE,755.2404
75,challenge-075,NDXWYVRAUFPPEJ-UHFFFAOYSA-N,17760167,NA,"InChI=1S/C10H12O4/c11-8-4-1-7(2-5-8)3-6-9(12)10(13)14/h1-2,4-5,9,11-12H,3,6H2,(H,13,14)",c1c(ccc(c1)CCC(C(=O)O)O)O,NEGATIVE,195.0663
76,challenge-076,CAFTUQNGDROXEZ-UHFFFAOYSA-N,494583,432924,"InChI=1S/C17H26O11/c1-7(19)28-16(2)5-9(20)17(24)3-4-25-15(13(16)17)27-14-12(23)11(22)10(21)8(6-18)26-14/h3-4,8-15,18,20-24H,5-6H2,1-2H3",C12(C(C(OC=C1)OC1OC(C(C(C1O)O)O)CO)C(CC2O)(C)OC(=O)C)O,NEGATIVE,405.1402
77,challenge-077,PHKSUFCCGLWIMC-UHFFFAOYSA-N,12310371,NA,"InChI=1S/C20H28O4/c1-14-6-10-20(13-21)16(18(22)23)4-3-5-17(20)19(14,2)9-7-15-8-11-24-12-15/h4,8,11-12,14,17,21H,3,5-7,9-10,13H2,1-2H3,(H,22,23)",C12(C(=CCCC1C(CCc1cocc1)(C(CC2)C)C)C(=O)O)CO,NEGATIVE,331.1915
78,challenge-078,DBKIEMOKQWYZOA-UHFFFAOYSA-N,182703,NA,"InChI=1S/C15H22O5/c1-14(7-16)3-9-11(5-14)15(2,19)4-8-10(12(9)17)6-20-13(8)18/h9,11-12,16-17,19H,3-7H2,1-2H3",C12=C(C(=O)OC1)CC(C1C(C2O)CC(C1)(C)CO)(C)O,NEGATIVE,281.1394
79,challenge-079,FTGKHGAVFGGOMW-UHFFFAOYSA-N,45360106,NA,"InChI=1S/C30H44O7/c1-16(2)17-8-13-29(24(34)35)14-15-30(25(36)37)18(22(17)29)6-7-19-26(3)11-10-21(31)28(5,23(32)33)20(26)9-12-27(19,30)4/h17-22,31H,1,6-15H2,2-5H3,(H,32,33)(H,34,35)(H,36,37)",C1C(C(C2C(C1)(C1C(CC2)(C2(C(CC1)C1C(CC2)(CCC1C(=C)C)C(=O)O)C(=O)O)C)C)(C(=O)O)C)O,NEGATIVE,515.3014
80,challenge-080,FEMTVABTBAWCEK-UHFFFAOYSA-N,57509426,NA,"InChI=1S/C25H34O8/c1-12(2)15-10-16-19(17(28)11-15)25(6)18(32-13(3)26)8-9-24(5,23(30)31-7)22(25)21(20(16)29)33-14(4)27/h10-12,18,20-22,28-29H,8-9H2,1-7H3",C1CC(C2C(C1OC(=O)C)(c1c(C(C2OC(=O)C)O)cc(cc1O)C(C)C)C)(C(=O)OC)C,NEGATIVE,461.2181
81,challenge-081,ISHUKYBHEZATMQ-UHFFFAOYSA-N,56776286,NA,"InChI=1S/C40H44O17/c41-13-25-31(49)33(51)35(53)39(55-25)29-21(45)9-17(10-22(29)46)27-28(38(16-3-7-20(44)8-4-16)57-37(27)15-1-5-19(43)6-2-15)18-11-23(47)30(24(48)12-18)40-36(54)34(52)32(50)26(14-42)56-40/h1-12,25-28,31-54H,13-14H2",C1(C(C(OC1c1ccc(cc1)O)c1ccc(cc1)O)c1cc(c(c(c1)O)C1OC(C(C(C1O)O)O)CO)O)c1cc(c(c(c1)O)C1OC(C(C(C1O)O)O)CO)O,NEGATIVE,795.2506
82,challenge-082,MXKGQHAVANZONW-UHFFFAOYSA-N,71437983,NA,"InChI=1S/C15H12O7/c1-20-9-4-3-6(16)10-12(19)11-7(17)5-8(18)13(21-2)15(11)22-14(9)10/h3-5,16-18H,1-2H3",c1cc(c2c(c1O)c(=O)c1c(c(c(cc1O)O)OC)o2)OC,NEGATIVE,303.051
83,challenge-083,FYTOTHFWELWOCG-UHFFFAOYSA-N,14427440,NA,"InChI=1S/C27H30O15/c28-7-15-20(35)22(37)26(42-27-23(38)21(36)19(34)16(8-29)41-27)25(40-15)18-12(32)5-11(31)17-13(33)6-14(39-24(17)18)9-1-3-10(30)4-2-9/h1-6,15-16,19-23,25-32,34-38H,7-8H2",Oc1ccc(c2cc(=O)c3c(cc(c(c3o2)C2OC(C(O)C(O)C2OC2OC(C(O)C(O)C2O)CO)CO)O)O)cc1,NEGATIVE,593.1512
84,challenge-084,ZSKDVJYWOHBGNI-UHFFFAOYSA-N,195328,NA,"InChI=1S/C17H12O6/c18-13-2-1-8(5-14(13)19)11-4-10(17(22)23)3-9-6-15(20)16(21)7-12(9)11/h1-7,18-21H,(H,22,23)",c1(c(cc2c(c1)cc(cc2c1ccc(c(c1)O)O)C(=O)O)O)O,NEGATIVE,311.0561
85,challenge-085,RRUQYJBEEQBWGK-UHFFFAOYSA-N,56776322,NA,"InChI=1S/C21H32O10/c1-10(12(24)8-22)19(28)31-13-7-20(3)14(25)5-6-21(29,9-23)17(20)16(26)15(13)11(2)18(27)30-4/h12-17,22-26,29H,1-2,5-9H2,3-4H3",C1CC(C2C(C1O)(CC(C(C2O)C(=C)C(=O)OC)OC(=O)C(=C)C(CO)O)C)(CO)O,NEGATIVE,443.1923
86,challenge-086,VVSZRCIUFBADJQ-BJMVGYQFSA-N,38355910,NA,"InChI=1S/C20H20O4/c1-14(2)11-12-24-17-7-3-15(4-8-17)5-10-19(22)18-9-6-16(21)13-20(18)23/h3-11,13,21,23H,12H2,1-2H3/b10-5+",c1c(ccc(c1O)C(=O)/C=C/c1ccc(cc1)OCC=C(C)C)O,NEGATIVE,323.1289
87,challenge-087,ZHZZKRDEPZMPLJ-UHFFFAOYSA-N,14138137,NA,"InChI=1S/C15H18O5/c1-6-3-9(17)12-7(2)15(19)20-14(12)13-8(5-16)4-10(18)11(6)13/h4,7,9,12-14,16-17H,3,5H2,1-2H3/t7-,9+,12-,13+,14+/m1/s1",C12=C(C[C@@H]([C@@H]3[C@@H]([C@H]1C(=CC2=O)CO)OC(=O)[C@@H]3C)O)C,NEGATIVE,277.1081
88,challenge-088,MVOUGOXRXQDXDC-UHFFFAOYSA-N,3559211,2796851,"InChI=1S/C27H30O14/c1-8-17(31)21(35)23(37)27(39-8)16-20(34)15(26-24(38)22(36)18(32)13(7-28)41-26)19(33)14-11(30)6-12(40-25(14)16)9-2-4-10(29)5-3-9/h2-6,8,13,17-18,21-24,26-29,31-38H,7H2,1H3/t8-,13+,17-,18+,21+,22-,23+,24+,26-,27-/m0/s1",c1(c(c(c2c(c1[C@@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)C)oc(cc2=O)c1ccc(cc1)O)O)[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O,NEGATIVE,577.1563
89,challenge-089,NFUHNVZGHNEYRG-UHFFFAOYSA-N,57509323,NA,"InChI=1S/C26H36O12/c1-34-18-11-15(6-7-16(18)29)22(30)20(12-27)37-17-8-5-14(10-19(17)35-2)4-3-9-36-26-25(33)24(32)23(31)21(13-28)38-26/h5-8,10-11,20-33H,3-4,9,12-13H2,1-2H3",c1(c(ccc(c1)C(C(CO)Oc1c(cc(cc1)CCCOC1OC(C(C(C1O)O)O)CO)OC)O)O)OC,NEGATIVE,539.2134
90,challenge-090,GARAEILXWIXANX-UHFFFAOYSA-N,538903,469292,"InChI=1S/C34H41NO16/c1-14-15(2)29(42)50-27-24(47-17(4)37)28(49-19(6)39)33(13-45-16(3)36)26(48-18(5)38)23(40)21-25(41)34(33,32(27,8)44)51-31(21,7)12-46-30(43)20-10-9-11-35-22(14)20/h9-11,14-15,21,24-28,41,44H,12-13H2,1-8H3/t14-,15-,21+,24-,25+,26+,27-,28-,31-,32-,33+,34-/m0/s1",[C@@H]1([C@H]2[C@]([C@]34[C@@]([C@H]1OC(=O)C)([C@@H](C(=O)[C@H]([C@H]3O)[C@](O4)(C)COC(=O)c1c(nccc1)[C@H]([C@@H](C(=O)O2)C)C)OC(=O)C)COC(=O)C)(C)O)OC(=O)C,NEGATIVE,718.2353
91,challenge-091,VPBGBMLWGOFHSN-UHFFFAOYSA-N,23955869,NA,"InChI=1S/C33H40O19/c1-11-30(52-33-28(44)24(40)22(38)18(8-34)50-33)26(42)29(45)31(48-11)47-10-19-23(39)25(41)27(43)32(51-19)49-14-6-16(36)20-17(7-14)46-9-15(21(20)37)12-2-4-13(35)5-3-12/h2-7,9,11,18-19,22-36,38-45H,8,10H2,1H3",c1(cc(c2c(c1)occ(c2=O)c1ccc(cc1)O)O)OC1C(C(C(C(O1)COC1C(C(C(C(O1)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O)O,NEGATIVE,739.2091
92,challenge-092,LIFSGPPJRHEFEY-DJKKODMXSA-N,23902358,NA,"InChI=1S/C35H56O9/c1-18(8-7-9-19(2)29(41)42)20-14-24(37)33(6)23-11-10-22-31(3,4)26(44-30-28(40)27(39)21(36)16-43-30)12-13-34(22)17-35(23,34)15-25(38)32(20,33)5/h9,18,20-28,30,36-40H,7-8,10-17H2,1-6H3,(H,41,42)/b19-9+",C1C(C(C2CCC3C4(C2(C1)C4)CC(C1(C3(C(CC1C(CC/C=C(/C(=O)O)\C)C)O)C)C)O)(C)C)OC1OCC(O)C(O)C1O,NEGATIVE,619.3852
93,challenge-093,RNQBLQALVMHBKH-UHFFFAOYSA-N,390362,NA,"InChI=1S/C30H22O10/c31-15-5-1-13(2-6-15)29-25(27(37)23-19(35)9-17(33)11-21(23)39-29)26-28(38)24-20(36)10-18(34)12-22(24)40-30(26)14-3-7-16(32)8-4-14/h1-12,25-26,29-36H",Oc1ccc(cc1)C1Oc2cc(O)cc(c2C(=O)C1C1C(Oc2cc(cc(c2C1=O)O)O)c1ccc(O)cc1)O,NEGATIVE,541.114
94,challenge-094,DHPGIJYSTONUPM-UHFFFAOYSA-N,56776185,NA,"InChI=1S/C20H26O7/c1-11-6-15-20(9-21)16(13(22)2-4-18(20,24)10-26-15)19(11)7-14(27-17(19)23)12-3-5-25-8-12/h3,5,8,11,13-16,21-22,24H,2,4,6-7,9-10H2,1H3",C1CC2(C3(C(C1O)C1(C(CC3OC2)C)CC(OC1=O)c1cocc1)CO)O,NEGATIVE,377.1606
95,challenge-095,UDVTWMLZUGXNQM-UHFFFAOYSA-N,57509389,NA,"InChI=1S/C23H32O6/c1-7-8-15(11-17(24)25)18-22(28-6)16(10-9-12(2)3)21(27)19-20(26)13(4)14(5)29-23(18)19/h9,13-15,27H,7-8,10-11H2,1-6H3,(H,24,25)",C(=C(C)C)Cc1c(OC)c(c2c(c1O)C(=O)C(C(O2)C)C)C(CC(=O)O)CCC,NEGATIVE,403.2126
96,challenge-096,KLPWVMFJDOIILT-UHFFFAOYSA-N,57509430,NA,"InChI=1S/C15H20O4/c1-8-10(16)4-5-14(3)6-7-15(18)9(2)13(17)19-12(15)11(8)14/h9,12,18H,4-7H2,1-3H3",C1C(=O)C(=C2C(C1)(CCC1(C2OC(=O)C1C)O)C)C,NEGATIVE,263.1289
97,challenge-097,FKMASXTUONWHBB-UHFFFAOYSA-N,57509357,NA,"InChI=1S/C24H30O11/c1-13(26)24(32,10-14-2-6-16(27)7-3-14)23(31)33-12-15-4-8-17(9-5-15)34-22-21(30)20(29)19(28)18(11-25)35-22/h2-9,13,18-22,25-30,32H,10-12H2,1H3",c1c(ccc(c1)COC(=O)C(C(O)C)(Cc1ccc(cc1)O)O)OC1OC(C(C(C1O)O)O)CO,NEGATIVE,493.1715
98,challenge-098,BTCICADMSGBCKA-UHFFFAOYSA-N,57509362,NA,"InChI=1S/C32H26O10/c1-39-19-7-3-15(4-8-19)31-27(29(37)25-21(35)11-17(33)13-23(25)41-31)28-30(38)26-22(36)12-18(34)14-24(26)42-32(28)16-5-9-20(40-2)10-6-16/h3-14,27-28,31-36H,1-2H3",O(c1ccc(cc1)C1Oc2cc(O)cc(c2C(=O)C1C1C(Oc2cc(cc(c2C1=O)O)O)c1ccc(OC)cc1)O)C,NEGATIVE,569.1453
99,challenge-099,LQUPEGJECBPTCO-UHFFFAOYSA-N,71262891,NA,"InChI=1S/C20H30O11/c1-27-11-4-2-10(3-5-11)6-7-28-20-18(26)16(24)15(23)13(31-20)9-30-19-17(25)14(22)12(21)8-29-19/h2-5,12-26H,6-9H2,1H3/t12-,13+,14-,15+,16-,17+,18+,19-,20+/m0/s1",c1c(ccc(c1)CCO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O)O)OC,NEGATIVE,445.1715
100,challenge-100,PUFYSEQCTZERQM-UHFFFAOYSA-N,57509507,NA,"InChI=1S/C20H30O4/c1-11-12-5-6-15-18(2,3)8-7-16(21)19(15,4)14(12)10-20(23)13(11)9-17(22)24-20/h9,11-12,14-16,21,23H,5-8,10H2,1-4H3",C1CC(C2C(C1O)(C1C(CC2)C(C2=CC(=O)OC2(C1)O)C)C)(C)C,NEGATIVE,333.2071
101,challenge-101,GHCZYXUOYFOXIP-UHFFFAOYSA-N,4871,NA,"InChI=1S/C25H24O6/c1-13(2)5-7-15-21(28)20-22(29)17(14-6-8-18(26)19(27)11-14)12-30-24(20)16-9-10-25(3,4)31-23(15)16/h5-6,8-12,26-28H,7H2,1-4H3",c1(c(c2c(occ(c2=O)c2ccc(c(c2)O)O)c2c1OC(C=C2)(C)C)O)CC=C(C)C,NEGATIVE,419.15
102,challenge-102,KNFOHFRALRKTOJ-UHFFFAOYSA-N,45027869,NA,"InChI=1S/C26H34O11/c1-33-19-8-13(3-5-17(19)29)7-15-12-35-25(16(15)10-27)14-4-6-18(20(9-14)34-2)36-26-24(32)23(31)22(30)21(11-28)37-26/h3-6,8-9,15-16,21-32H,7,10-12H2,1-2H3",C1(C(C(OC1)c1ccc(c(c1)OC)OC1OC(C(C(C1O)O)O)CO)CO)Cc1ccc(c(c1)OC)O,NEGATIVE,521.2028
103,challenge-103,UWQYBLOHTQWSQD-UHFFFAOYSA-N,5481958,4587687,"InChI=1S/C25H26O6/c1-13(2)5-8-17-20(28)12-21(29)22-23(30)18(9-6-14(3)4)24(31-25(17)22)16-10-7-15(26)11-19(16)27/h5-7,10-12,26-29H,8-9H2,1-4H3",c1(cc(c2c(c1CC=C(C)C)oc(c(c2=O)CC=C(C)C)c1ccc(cc1O)O)O)O,NEGATIVE,421.1657
104,challenge-104,XKXZAYIPFRBKHT-UHFFFAOYSA-N,56776388,NA,"InChI=1S/C20H30O5/c1-12(9-17(22)23)5-7-19(3)13(2)6-8-20(4)15(18(24)25)10-14(21)11-16(19)20/h10,12-13,16H,5-9,11H2,1-4H3,(H,22,23)(H,24,25)",C1(=O)C=C(C2(C(C1)C(C(CC2)C)(CCC(C)CC(=O)O)C)C)C(=O)O,NEGATIVE,349.202
105,challenge-105,YFZSQPRYLBGYKE-UHFFFAOYSA-N,13940619,NA,"InChI=1S/C23H24O12/c1-31-13-5-9(3-4-10(13)25)12-6-11(26)17-14(33-12)7-15(22(32-2)19(17)28)34-23-21(30)20(29)18(27)16(8-24)35-23/h3-7,16,18,20-21,23-25,27-30H,8H2,1-2H3/t16-,18-,20+,21-,23-/m1/s1",O([C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)c1c(c(c2c(c1)oc(cc2=O)c1cc(c(cc1)O)OC)O)OC,NEGATIVE,491.1195
106,challenge-106,AKNILCMFRRDTEY-UHFFFAOYSA-N,3081484,2339083,"InChI=1S/C23H28O13/c1-31-12-6-9(2-3-11(12)26)20(30)34-18-10-4-5-32-21(14(10)23(8-25)19(18)36-23)35-22-17(29)16(28)15(27)13(7-24)33-22/h2-6,10,13-19,21-22,24-29H,7-8H2,1H3/t10-,13-,14-,15-,16+,17-,18+,19+,21+,22+,23-/m1/s1",O([C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)[C@@H]1OC=C[C@@H]2[C@H]1[C@@]1([C@H]([C@H]2OC(=O)c2cc(c(cc2)O)OC)O1)CO,NEGATIVE,511.1457
107,challenge-107,LJNNQVFOVQWDMN-UHFFFAOYSA-N,57509435,NA,"InChI=1S/C27H38O8/c1-8-13(2)23(31)35-27-20(24(27,6)7)18-10-17(12-28)11-25(32)19(9-14(3)21(25)30)26(18,33)15(4)22(27)34-16(5)29/h9-10,13,15,18-20,22,28,32-33H,8,11-12H2,1-7H3",C12(C(C=C(C1=O)C)C1(C(C=C(C2)CO)C2C(C(C1C)OC(=O)C)(C2(C)C)OC(=O)C(CC)C)O)O,NEGATIVE,489.2494
108,challenge-108,CJBZJZGULKATPY-UHFFFAOYSA-N,5323543,4481095,"InChI=1S/C24H26O6/c1-12(2)6-8-14-17(25)11-18(26)20-21(28)16-10-19(27)23(29-5)15(9-7-13(3)4)22(16)30-24(14)20/h6-7,10-11,25-27H,8-9H2,1-5H3",c1(c(cc2c(c1CC=C(C)C)oc1c(c2=O)c(cc(c1CC=C(C)C)O)O)O)OC,NEGATIVE,409.1657
109,challenge-109,ARNVYCOTFWJTBS-UHFFFAOYSA-N,10478290,8653699,"InChI=1S/C26H30O6/c1-14(2)6-8-17-21(28)12-22-23(24(17)29)25(30)19(13-32-22)16-10-11-20(27)18(26(16)31-5)9-7-15(3)4/h6-7,10-12,19,27-29H,8-9,13H2,1-5H3",c1(c(c(c2c(c1)OCC(C2=O)c1c(c(c(cc1)O)CC=C(C)C)OC)O)CC=C(C)C)O,NEGATIVE,437.197
110,challenge-110,VJSCHQMOTSXAKB-YCRREMRBSA-N,24096391,NA,"InChI=1S/C18H19NO5/c1-24-17-10-12(2-8-15(17)21)3-9-18(23)19-11-16(22)13-4-6-14(20)7-5-13/h2-10,16,20-22H,11H2,1H3,(H,19,23)/b9-3+",c1cc(ccc1C(CNC(=O)/C=C/c1ccc(c(c1)OC)O)O)O,NEGATIVE,328.119
111,challenge-111,FISIJWVRKFHLSM-UHFFFAOYSA-N,56776386,NA,"InChI=1S/C25H42O4/c1-17(2)14-23(28)29-16-20-8-7-9-21-24(5,12-10-18(3)15-22(26)27)19(4)11-13-25(20,21)6/h8,17-19,21H,7,9-16H2,1-6H3,(H,26,27)",C1C=C(C2(C(C1)C(C(CC2)C)(CCC(CC(=O)O)C)C)C)COC(=O)CC(C)C,NEGATIVE,405.301
112,challenge-112,WJMFXQBNYLYADA-UHFFFAOYSA-N,3035586,2299787,"InChI=1S/C18H14O8/c19-11-2-1-7(4-12(11)20)15-9-6-14(22)13(21)5-8(9)3-10(17(23)24)16(15)18(25)26/h1-6,15-16,19-22H,(H,23,24)(H,25,26)",c1(c(cc2c(c1)C=C(C(C2c1ccc(c(c1)O)O)C(=O)O)C(=O)O)O)O,NEGATIVE,357.0616
113,challenge-113,XFLTYUCKJRFDOU-UHFFFAOYSA-N,5153916,4327015,"InChI=1S/C34H28O22/c35-9-22-27(53-30(48)10-1-14(36)23(44)15(37)2-10)28(54-31(49)11-3-16(38)24(45)17(39)4-11)29(55-32(50)12-5-18(40)25(46)19(41)6-12)34(52-22)56-33(51)13-7-20(42)26(47)21(43)8-13/h1-8,22,27-29,34-47H,9H2/t22-,27-,28+,29-,34+/m1/s1",O(C(=O)c1cc(c(c(c1)O)O)O)[C@@H]1[C@@H](OC(=O)c2cc(c(c(c2)O)O)O)[C@H](OC(=O)c2cc(c(c(c2)O)O)O)[C@H](O[C@H]1OC(=O)c1cc(c(c(c1)O)O)O)CO,NEGATIVE,787.0999
114,challenge-114,BZYKNVLTMWYEFA-UHFFFAOYSA-N,53396784,NA,"InChI=1S/C19H20O10/c20-6-11-15(25)17(27)18(28)19(29-11)13-10(23)5-9(22)12(16(13)26)14(24)7-1-3-8(21)4-2-7/h1-5,11,15,17-23,25-28H,6H2/t11-,15-,17+,18-,19+/m1/s1",O[C@H]1[C@@H](O[C@@H]([C@@H](O)[C@@H]1O)CO)c1c(cc(c(c1O)C(=O)c1ccc(cc1)O)O)O,NEGATIVE,407.0984
115,challenge-115,DQILVZOWLYBPKT-UHFFFAOYSA-N,15233655,NA,"InChI=1S/C25H33Cl2N5O7/c1-3-15-25(39)32-10-14(26)19(27)21(32)24(38)31-20(12(2)34)23(37)30-17(11-33)22(36)29-16(9-18(35)28-15)13-7-5-4-6-8-13/h4-8,12,14-17,19-21,33-34H,3,9-11H2,1-2H3,(H,28,35)(H,29,36)(H,30,37)(H,31,38)",C12N(CC(C1Cl)Cl)C(=O)C(NC(=O)CC(NC(=O)C(NC(=O)C(NC2=O)C(C)O)CO)c1ccccc1)CC,NEGATIVE,584.1684
